gets,rssi,address
0,-88,80324D1A-7A05-DCA2-D675-DF7AE48F80D0
0,-69,B43A23A2-9E71-C6E8-E077-47C1867CA41C
0,-42,7D1D648C-8CED-928B-3483-B164419E75B2
0,-81,6439E5F8-45A3-2BF9-A90F-2F5412EAD07E
0,-61,CB334F59-F065-7DAB-9C2B-5A3669B0BD26
0,-67,BBE44E4E-3BEA-1528-EFA4-7A324456043A
0,-97,E4449501-7A76-AA58-CC11-0D5292F8E06A
0,-85,83AB0194-3262-9E1D-6868-780B68180A1F
0,-69,98BD1E1D-667F-6465-F2C0-AD62408ADEE8
0,-46,CEEB922A-7DDE-46D0-CDC8-E7CDA8BD08A2
0,-70,6A24D35D-35ED-06B5-B39A-EAD4365222EA
0,-99,B779BA50-0B02-B6EB-F369-2E330AFC31F5
0,-90,1A6F6B1A-5B42-9260-9384-259F81E6E89C
0,-85,9A5F8A1B-3BD7-0A1B-99CE-D4B805F0FA27
0,-78,25EEE710-D922-C8EB-84FC-60C776058272
0,-72,13611532-E963-EE25-A8B6-448A5F64C501
0,-69,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
0,-75,B29B9BDF-31B4-EFB5-9341-4823593885EA
0,-50,7ACF5DA2-65CB-4119-12AB-22CBA8C09B29
0,-79,99FC17B2-BBDE-A56A-E241-2F789956D915
0,-81,5CF555D6-48CA-4ADC-9211-635182D7E387
0,-91,67FFA22E-F2BD-3665-AD1C-2ABCEC892E3B
0,-75,497D108A-8000-60BF-9EC6-D425A99F01B2
0,-93,40234201-0248-FAD4-2893-17374C36AD8B
0,-84,1667049A-7372-C30D-89B2-B1ECA12DB046
0,-60,51808EF8-2162-420F-731F-0817F82681B1
0,-69,0927D63B-9C1F-550F-2837-833C800C0015
0,-83,E454F94D-9C6E-ECA1-85D2-014317A7A8E9
0,-61,E1BEC981-F150-F7B4-9462-855BE34E0B7F
0,-90,C43A9D69-523A-95DA-C4D0-C87F69B323E1
0,-71,32F31CC5-70F7-2C9C-C688-6996A985B386
0,-80,ACE72ECA-09A9-EAC6-1AF2-2E76BF660E4E
0,-92,04BAB474-320A-44CF-2E48-F6A57219ED08
0,-90,249C181E-96E7-D024-AD18-CEC7BE3C93E9
0,-94,A24CC2A3-FC82-437A-DA70-A30AFA2E6483
0,-71,3E0588ED-B074-0E75-CF27-8FD8719BC258
0,-70,8A50F6B1-3DB1-A85A-6ED9-343168E5E515
0,-84,11568810-14EB-73E2-57A7-8E4F671044D2
0,-75,8792153E-FDDA-84CC-BD7D-C8C6193F29A0
0,-72,C1585FD6-BAD0-9CC9-A0DD-D6A5137C7C97
0,-75,D59D2354-372E-EC13-7BDA-49D8735505CC
0,-65,2E69403D-0597-EAD1-3A45-239969C651B6
0,-42,DCB25614-9ADE-B1F7-5069-BE3843A94AC7
0,-65,8A60BD70-3625-C7FC-E1BD-921F21A9665A
0,-78,F0571E8D-A7BA-A618-7C1F-9B5DE0708944
0,-87,2EAED031-3590-344B-C4A8-89837A4F7FD1
0,-93,28:ac:9e:3e:b1:8e
0,-89,b0:c7:45:c9:0d:d5
0,-88,10:27:f5:e3:50:97
0,-87,c4:36:c0:e3:cc:3f
0,-87,c4:36:c0:e3:cc:3e
0,-87,c4:36:c0:e3:cc:38
0,-87,b0:26:80:d1:d8:ae
0,-87,84:af:ec:a7:f2:b4
0,-86,b0:26:80:d1:d8:af
0,-85,84:af:ec:86:f0:70
0,-77,80:ea:96:f2:cc:77
0,-76,c0:06:c3:c0:b9:d3
0,-74,b0:c7:45:c9:0d:d0
0,-73,ac:44:f2:8c:e9:20
0,-72,b0:26:80:d1:cf:01
0,-72,b0:26:80:d1:cf:00
0,-71,84:af:ec:86:f0:60
0,-66,80:ea:96:f2:cc:76
0,-64,c0:06:c3:c0:b9:d2
0,-59,e8:4f:25:d6:0e:45
0,-58,60:84:bd:de:7c:60
0,-47,c0:25:a2:a7:2e:2a
0,-58,60:84:bd:de:7c:67
0,-57,ac:44:f2:8c:b0:e0
0,-56,ac:44:f2:8c:e8:a8
0,-54,b0:26:80:d1:cf:0e
0,-53,b0:26:80:d1:cf:0f
0,-51,28:ac:9e:3e:b9:ae
0,-51,28:ac:9e:3e:b9:af
0,-44,c0:25:a2:a7:2e:2b
0,-44,c0:25:a2:a9:b1:4f
1,-49,7ACF5DA2-65CB-4119-12AB-22CBA8C09B29
1,-56,51808EF8-2162-420F-731F-0817F82681B1
1,-57,91592F85-8583-F7D2-B20C-CF8314BB5E59
1,-56,CB334F59-F065-7DAB-9C2B-5A3669B0BD26
1,-93,2EAED031-3590-344B-C4A8-89837A4F7FD1
1,-70,98BD1E1D-667F-6465-F2C0-AD62408ADEE8
1,-78,F0571E8D-A7BA-A618-7C1F-9B5DE0708944
1,-75,6439E5F8-45A3-2BF9-A90F-2F5412EAD07E
1,-80,8A60BD70-3625-C7FC-E1BD-921F21A9665A
1,-73,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
1,-82,B29B9BDF-31B4-EFB5-9341-4823593885EA
1,-67,3E7BD904-8603-77EF-8151-D4DE5FD6E78A
1,-74,1A6F6B1A-5B42-9260-9384-259F81E6E89C
1,-73,5FAEC74A-B372-18CD-3464-305CD379F907
1,-73,25EEE710-D922-C8EB-84FC-60C776058272
1,-75,CB3FA815-792F-F093-ACFF-69B2FB6871CF
1,-74,BBE44E4E-3BEA-1528-EFA4-7A324456043A
1,-83,1667049A-7372-C30D-89B2-B1ECA12DB046
1,-72,99FC17B2-BBDE-A56A-E241-2F789956D915
1,-85,9A5F8A1B-3BD7-0A1B-99CE-D4B805F0FA27
1,-67,B43A23A2-9E71-C6E8-E077-47C1867CA41C
1,-69,13611532-E963-EE25-A8B6-448A5F64C501
1,-84,11568810-14EB-73E2-57A7-8E4F671044D2
1,-76,C7D801D0-6CB0-8BAC-5F66-74F8A1132E8D
1,-93,80324D1A-7A05-DCA2-D675-DF7AE48F80D0
1,-69,0896FD2C-8A5B-89C7-99EA-A33F73198964
1,-89,B779BA50-0B02-B6EB-F369-2E330AFC31F5
1,-94,40234201-0248-FAD4-2893-17374C36AD8B
1,-70,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
1,-58,E1BEC981-F150-F7B4-9462-855BE34E0B7F
1,-87,77E25248-68BD-55D5-353C-70A9B5BC4147
1,-88,04BAB474-320A-44CF-2E48-F6A57219ED08
1,-73,8792153E-FDDA-84CC-BD7D-C8C6193F29A0
1,-63,2E69403D-0597-EAD1-3A45-239969C651B6
1,-89,2FD35A34-4C5E-50DD-0EC1-636D6F5D6545
1,-67,D59D2354-372E-EC13-7BDA-49D8735505CC
1,-45,7D1D648C-8CED-928B-3483-B164419E75B2
1,-99,B7D877B4-8EBF-A152-4CB3-42721417111E
1,-69,5CF555D6-48CA-4ADC-9211-635182D7E387
1,-92,67FFA22E-F2BD-3665-AD1C-2ABCEC892E3B
1,-71,80280365-B20E-1CFF-B716-1AF288304351
1,-70,6A24D35D-35ED-06B5-B39A-EAD4365222EA
1,-92,E454F94D-9C6E-ECA1-85D2-014317A7A8E9
1,-69,497D108A-8000-60BF-9EC6-D425A99F01B2
1,-64,8A50F6B1-3DB1-A85A-6ED9-343168E5E515
1,-71,A1444613-FD08-5AB4-70DE-F1C849A324D5
1,-89,0927D63B-9C1F-550F-2837-833C800C0015
1,-70,3E0588ED-B074-0E75-CF27-8FD8719BC258
1,-86,8D85DC3F-F1EF-4CFB-E847-EC1D4E0EE582
1,-96,A24CC2A3-FC82-437A-DA70-A30AFA2E6483
1,-93,28:ac:9e:3e:b1:8e
1,-88,b0:c7:45:c9:0d:d5
1,-87,c4:36:c0:e3:cc:3e
1,-87,b0:26:80:d1:d8:ae
1,-87,84:af:ec:a7:f2:b4
1,-87,10:27:f5:e3:50:97
1,-86,c4:36:c0:e3:cc:3f
1,-86,c4:36:c0:e3:cc:38
1,-86,b0:26:80:d1:d8:af
1,-85,84:af:ec:86:f0:70
1,-80,80:ea:96:f2:cc:77
1,-75,c0:06:c3:c0:b9:d3
1,-74,b0:c7:45:c9:0d:d0
1,-73,ac:44:f2:8c:e9:20
1,-72,b0:26:80:d1:cf:01
1,-72,b0:26:80:d1:cf:00
1,-71,84:af:ec:86:f0:60
1,-68,28:ac:9e:3e:b9:a0
1,-68,28:ac:9e:3e:b9:a1
1,-68,80:ea:96:f2:cc:76
1,-66,d0:40:ef:f9:f0:9d
1,-64,c0:06:c3:c0:b9:d2
1,-59,e8:4f:25:d6:0e:45
1,-56,60:84:bd:de:7c:60
1,-48,c0:25:a2:a7:2e:2a
1,-40,e8:4f:25:d3:9b:75
1,-58,60:84:bd:de:7c:67
1,-58,ac:44:f2:8c:b0:e0
1,-58,ac:44:f2:8c:e8:a8
1,-54,b0:26:80:d1:cf:0f
1,-54,b0:26:80:d1:cf:0e
1,-50,28:ac:9e:3e:b9:ae
1,-50,28:ac:9e:3e:b9:af
1,-44,c0:25:a2:a7:2e:2b
1,-43,c0:25:a2:a9:b1:4f
2,-72,32F31CC5-70F7-2C9C-C688-6996A985B386
2,-68,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
2,-71,8792153E-FDDA-84CC-BD7D-C8C6193F29A0
2,-66,497D108A-8000-60BF-9EC6-D425A99F01B2
2,-70,5CF555D6-48CA-4ADC-9211-635182D7E387
2,-83,ACE72ECA-09A9-EAC6-1AF2-2E76BF660E4E
2,-60,51808EF8-2162-420F-731F-0817F82681B1
2,-61,CB334F59-F065-7DAB-9C2B-5A3669B0BD26
2,-67,BBE44E4E-3BEA-1528-EFA4-7A324456043A
2,-95,A24CC2A3-FC82-437A-DA70-A30AFA2E6483
2,-63,2E69403D-0597-EAD1-3A45-239969C651B6
2,-67,E1BEC981-F150-F7B4-9462-855BE34E0B7F
2,-70,0927D63B-9C1F-550F-2837-833C800C0015
2,-100,B779BA50-0B02-B6EB-F369-2E330AFC31F5
2,-89,C43A9D69-523A-95DA-C4D0-C87F69B323E1
2,-73,25EEE710-D922-C8EB-84FC-60C776058272
2,-81,80324D1A-7A05-DCA2-D675-DF7AE48F80D0
2,-91,249C181E-96E7-D024-AD18-CEC7BE3C93E9
