gets,rssi,address
12,-92,00:1d:73:f8:87:60
10,-92,00:1d:73:f8:87:60
11,-92,00:1d:73:f8:87:60
28,-93,00:24:a5:7b:aa:30
12,-92,00:24:a5:7b:aa:30
13,-92,00:24:a5:7b:aa:30
14,-92,00:24:a5:7b:aa:30
29,-93,00:24:a5:7b:aa:30
27,-93,00:24:a5:7b:aa:30
14,-88,00:24:a5:7b:b2:80
12,-88,00:24:a5:7b:b2:80
13,-88,00:24:a5:7b:b2:80
19,-82,00:90:fe:f7:da:b4
25,-78,00:90:fe:f7:da:b4
13,-78,00:90:fe:f7:da:b4
24,-78,00:90:fe:f7:da:b4
28,-79,00:90:fe:f7:da:b4
14,-78,00:90:fe:f7:da:b4
20,-78,00:90:fe:f7:da:b4
27,-79,00:90:fe:f7:da:b4
21,-78,00:90:fe:f7:da:b4
15,-78,00:90:fe:f7:da:b4
18,-81,00:90:fe:f7:da:b4
17,-81,00:90:fe:f7:da:b4
23,-78,00:90:fe:f7:da:b4
29,-79,00:90:fe:f7:da:b4
22,-78,00:90:fe:f7:da:b4
24,-78,00:90:fe:f7:da:b6
8,-78,00:90:fe:f7:da:b6
23,-78,00:90:fe:f7:da:b6
7,-78,00:90:fe:f7:da:b6
9,-78,00:90:fe:f7:da:b6
25,-78,00:90:fe:f7:da:b6
29,-79,00:90:fe:f7:da:b6
20,-82,00:90:fe:f7:da:b6
21,-82,00:90:fe:f7:da:b6
19,-82,00:90:fe:f7:da:b6
7,-72,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
25,-69,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
9,-71,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
15,-70,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
1,-70,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
13,-71,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
5,-82,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
6,-62,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
29,-69,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
4,-70,014E3480-8DCF-32C5-FB83-0FE3F9E647A1
29,-88,04BAB474-320A-44CF-2E48-F6A57219ED08
0,-92,04BAB474-320A-44CF-2E48-F6A57219ED08
18,-86,04BAB474-320A-44CF-2E48-F6A57219ED08
20,-86,04BAB474-320A-44CF-2E48-F6A57219ED08
8,-89,04BAB474-320A-44CF-2E48-F6A57219ED08
14,-86,04BAB474-320A-44CF-2E48-F6A57219ED08
2,-88,04BAB474-320A-44CF-2E48-F6A57219ED08
9,-88,04BAB474-320A-44CF-2E48-F6A57219ED08
5,-90,04BAB474-320A-44CF-2E48-F6A57219ED08
12,-90,04BAB474-320A-44CF-2E48-F6A57219ED08
13,-92,04BAB474-320A-44CF-2E48-F6A57219ED08
28,-85,04BAB474-320A-44CF-2E48-F6A57219ED08
3,-86,04BAB474-320A-44CF-2E48-F6A57219ED08
7,-88,04BAB474-320A-44CF-2E48-F6A57219ED08
1,-88,04BAB474-320A-44CF-2E48-F6A57219ED08
21,-87,04BAB474-320A-44CF-2E48-F6A57219ED08
24,-86,04BAB474-320A-44CF-2E48-F6A57219ED08
19,-88,04BAB474-320A-44CF-2E48-F6A57219ED08
16,-86,04BAB474-320A-44CF-2E48-F6A57219ED08
15,-87,04BAB474-320A-44CF-2E48-F6A57219ED08
11,-90,04BAB474-320A-44CF-2E48-F6A57219ED08
17,-87,04BAB474-320A-44CF-2E48-F6A57219ED08
10,-87,04BAB474-320A-44CF-2E48-F6A57219ED08
6,-88,04BAB474-320A-44CF-2E48-F6A57219ED08
22,-88,04BAB474-320A-44CF-2E48-F6A57219ED08
28,-69,0896FD2C-8A5B-89C7-99EA-A33F73198964
26,-70,0896FD2C-8A5B-89C7-99EA-A33F73198964
19,-74,0896FD2C-8A5B-89C7-99EA-A33F73198964
7,-85,0896FD2C-8A5B-89C7-99EA-A33F73198964
23,-70,0896FD2C-8A5B-89C7-99EA-A33F73198964
18,-72,0896FD2C-8A5B-89C7-99EA-A33F73198964
16,-73,0896FD2C-8A5B-89C7-99EA-A33F73198964
9,-72,0896FD2C-8A5B-89C7-99EA-A33F73198964
27,-71,0896FD2C-8A5B-89C7-99EA-A33F73198964
8,-72,0896FD2C-8A5B-89C7-99EA-A33F73198964
10,-72,0896FD2C-8A5B-89C7-99EA-A33F73198964
15,-79,0896FD2C-8A5B-89C7-99EA-A33F73198964
22,-74,0896FD2C-8A5B-89C7-99EA-A33F73198964
13,-74,0896FD2C-8A5B-89C7-99EA-A33F73198964
29,-71,0896FD2C-8A5B-89C7-99EA-A33F73198964
4,-69,0896FD2C-8A5B-89C7-99EA-A33F73198964
6,-68,0896FD2C-8A5B-89C7-99EA-A33F73198964
20,-75,0896FD2C-8A5B-89C7-99EA-A33F73198964
11,-72,0896FD2C-8A5B-89C7-99EA-A33F73198964
1,-69,0896FD2C-8A5B-89C7-99EA-A33F73198964
12,-76,0896FD2C-8A5B-89C7-99EA-A33F73198964
16,-67,0927D63B-9C1F-550F-2837-833C800C0015
0,-69,0927D63B-9C1F-550F-2837-833C800C0015
27,-63,0927D63B-9C1F-550F-2837-833C800C0015
18,-68,0927D63B-9C1F-550F-2837-833C800C0015
7,-70,0927D63B-9C1F-550F-2837-833C800C0015
1,-89,0927D63B-9C1F-550F-2837-833C800C0015
2,-70,0927D63B-9C1F-550F-2837-833C800C0015
28,-65,0927D63B-9C1F-550F-2837-833C800C0015
9,-66,0927D63B-9C1F-550F-2837-833C800C0015
12,-68,0927D63B-9C1F-550F-2837-833C800C0015
26,-72,0927D63B-9C1F-550F-2837-833C800C0015
24,-63,0927D63B-9C1F-550F-2837-833C800C0015
25,-67,0927D63B-9C1F-550F-2837-833C800C0015
21,-65,0927D63B-9C1F-550F-2837-833C800C0015
13,-70,0927D63B-9C1F-550F-2837-833C800C0015
5,-70,0927D63B-9C1F-550F-2837-833C800C0015
29,-65,0927D63B-9C1F-550F-2837-833C800C0015
20,-65,0927D63B-9C1F-550F-2837-833C800C0015
10,-66,0927D63B-9C1F-550F-2837-833C800C0015
3,-70,0927D63B-9C1F-550F-2837-833C800C0015
23,-65,0927D63B-9C1F-550F-2837-833C800C0015
11,-70,0927D63B-9C1F-550F-2837-833C800C0015
14,-69,0927D63B-9C1F-550F-2837-833C800C0015
4,-61,0927D63B-9C1F-550F-2837-833C800C0015
6,-70,0927D63B-9C1F-550F-2837-833C800C0015
19,-62,0927D63B-9C1F-550F-2837-833C800C0015
26,-72,10:27:f5:e3:50:96
3,-72,10:27:f5:e3:50:96
25,-72,10:27:f5:e3:50:96
2,-72,10:27:f5:e3:50:96
24,-72,10:27:f5:e3:50:96
4,-72,10:27:f5:e3:50:96
25,-86,10:27:f5:e3:50:97
2,-87,10:27:f5:e3:50:97
21,-86,10:27:f5:e3:50:97
5,-88,10:27:f5:e3:50:97
22,-87,10:27:f5:e3:50:97
24,-86,10:27:f5:e3:50:97
19,-86,10:27:f5:e3:50:97
23,-86,10:27:f5:e3:50:97
17,-86,10:27:f5:e3:50:97
18,-87,10:27:f5:e3:50:97
3,-88,10:27:f5:e3:50:97
7,-88,10:27:f5:e3:50:97
4,-87,10:27:f5:e3:50:97
26,-87,10:27:f5:e3:50:97
16,-87,10:27:f5:e3:50:97
6,-87,10:27:f5:e3:50:97
20,-86,10:27:f5:e3:50:97
0,-88,10:27:f5:e3:50:97
14,-87,10:27:f5:e3:50:97
27,-86,10:27:f5:e3:50:97
9,-86,10:27:f5:e3:50:97
10,-86,10:27:f5:e3:50:97
11,-87,10:27:f5:e3:50:97
1,-87,10:27:f5:e3:50:97
15,-88,10:27:f5:e3:50:97
12,-87,10:27:f5:e3:50:97
8,-87,10:27:f5:e3:50:97
29,-87,10:27:f5:e3:50:97
28,-87,10:27:f5:e3:50:97
13,-87,10:27:f5:e3:50:97
20,-69,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
29,-72,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
11,-75,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
18,-67,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
5,-61,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
9,-72,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
10,-71,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
7,-66,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
28,-70,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
25,-70,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
19,-73,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
23,-68,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
4,-78,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
14,-72,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
6,-70,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
1,-73,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
3,-70,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
26,-70,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
13,-72,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
12,-80,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
15,-73,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
8,-73,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
16,-73,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
27,-74,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
0,-69,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
24,-69,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
17,-67,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
22,-68,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
2,-68,10E79AFE-4E98-6854-65EF-3E2C2D93DC46
15,-83,11568810-14EB-73E2-57A7-8E4F671044D2
1,-84,11568810-14EB-73E2-57A7-8E4F671044D2
29,-87,11568810-14EB-73E2-57A7-8E4F671044D2
0,-84,11568810-14EB-73E2-57A7-8E4F671044D2
26,-85,11568810-14EB-73E2-57A7-8E4F671044D2
23,-85,11568810-14EB-73E2-57A7-8E4F671044D2
19,-84,11568810-14EB-73E2-57A7-8E4F671044D2
8,-83,11568810-14EB-73E2-57A7-8E4F671044D2
17,-82,11568810-14EB-73E2-57A7-8E4F671044D2
28,-83,11568810-14EB-73E2-57A7-8E4F671044D2
6,-87,11568810-14EB-73E2-57A7-8E4F671044D2
22,-82,11568810-14EB-73E2-57A7-8E4F671044D2
9,-83,11568810-14EB-73E2-57A7-8E4F671044D2
14,-83,11568810-14EB-73E2-57A7-8E4F671044D2
5,-84,11568810-14EB-73E2-57A7-8E4F671044D2
25,-87,11568810-14EB-73E2-57A7-8E4F671044D2
20,-83,11568810-14EB-73E2-57A7-8E4F671044D2
27,-83,11568810-14EB-73E2-57A7-8E4F671044D2
